Unnamed: 0_level_0,Active Gross Power,Reactive Gross Power,Exhaust Pressure Turbine CW,Exhaust Pressure Turbine CCW,Unnamed: 5_level_0,Unnamed: 6_level_0,Main Steam Press,Main Steam Temp,Brine Header Press,Brine Header Temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,Main Steam Flowrate,Brine Flowrate,Total Flowrate,Injection Press,Injection Flow,Injection Temp,Valve open,WHP,Header Reinjection Pump Temperature,Header Reinjection Pump Pressure,"Opening 
CV-A","Opening 
CV-B",Delta Pressure,Outlet Temp,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Steam Dump Valve A,Opening Steam Dump Valve B
Unnamed: 0_level_1,MW,MVAR,Bara,Bara,oC,kg/MW,barg,oC,barg,oC,barg,%,barg,oC,barg.1,%.1,barg.1,oC.1,barg.2,%.2,barg.2,oC.2,barg.3,%.3,barg.3,oC.3,oC,barg,kg/s,barg.4,%.4,barg.4,oC.4,barg.5,%.5,barg.5,oC.5,oC.1,barg.1,kg/s.1,kg/s,kg/s,kg/s,bara,kg/s,oC,%,barg.6,oC,Bara,%,%,Barg,oC,%,%,%.1,%.1,%,%
,WT,VART,PT9206,PT9256,TE93X0,,PT2504x,TT2501,PT2503,TT2502,PT2006A,PV2005A,PT2008A,TT2007A,PT2006B,PV2005B,PT2008B,TT2007B,PT2006C,PV2005C,PT2008C,TT2007C,PT2006D,PV2005D,PT2008D,TT2007D,TT2207,PT2208,FT2220,PT2106A,PV2105A,PT2108A,TT2107A,PT2106B,PV2105B,PT2108B,TT2107B,TT2307,PT2308,FT2320,FT2527,FT2505,,PT2702A,FT2703A,TT2704A,PV2705A,PT2703A,TT-2601,PT-2603,PV-2503A,PV-2503B,PV-2503,TE-9124,LV-2227A,LV-2227B,LV-2327A,LV-2327A,PV-2430A,PV-2430A
2025-06-19 19:00:00,34.7190992,4.6308279,0.786946,0.7916224,16.9617216,4.491849945163292,12.8401321,193.4255587,16.1820704,194.1622704,27.7600824,20.1185718,14.0100111,198.0724505,31.9543341,11.9746364,13.7402484,195.9158854,18.4126919,45.0259725,14.1053924,196.3328915,18.7527976,46.0529014,14.0341305,197.602995,195.0003856,13.2528844,43.30518231863889,2.8138946,9.9706898,0,81.7006932,21.7525759,51.6752855,13.5052495,191.6801366,194.8849511,13.1680305,3.395968696444444,48.81721828836111,107.13576554927778,155.9529838376389,11.7921737,144.80965106349998,96.9108909,19.1181298,8.5189957,87.3685786,14.2435132,1.0922198,0.2080542,1.9366997,95.2193517,0.1076867,0.137266,0.0701182,0.0858782,1.3659273,0.4006013
2025-06-19 20:00:00,34.6191346,4.5816662,0.8116054,0.8162854,16.6503385,4.488367629032241,12.7482502,193.1460124,16.1819703,193.9456257,27.7939728,20.1133098,13.9238461,197.8425496,31.9594614,11.966418,13.6550362,195.6861524,18.3826775,45.0241188,14.0275269,196.1067521,18.7126302,46.0526443,13.9544333,197.387967,194.7428266,13.1646825,43.59079342758333,2.8366643,9.969094,0,81.6300972,21.7307732,52.1492069,13.4169803,191.4171123,194.6303657,13.0793314,3.568050856416667,48.95071253094444,106.43269055280557,155.38340308375,11.7853192,144.38971380111113,97.2197904,19.117334,8.5259637,87.1297677,14.2316359,1.0957675,0.2079272,1.9485336,94.9680023,0.1070509,0.1503129,0.0694176,0.0851338,1.2053521,0.3995865
2025-06-19 21:00:00,34.7130104,4.3375326,0.8208362,0.8307107,16.2220283,4.432038293021717,12.6981598,192.9542634,16.1358033,193.7860358,27.8238366,20.1063787,13.875176,197.6849304,31.9638759,11.9652551,13.6073159,195.5162789,18.4011507,45.0223123,13.9869411,195.9194419,18.7174209,45.6904763,13.9065041,197.2445298,194.5620049,13.1166507,43.81030578308333,2.6587778,9.968821,0,81.5148671,21.7179512,52.8445427,13.3692466,191.1670444,194.434138,13.0309153,3.6764394676944443,48.687755683805555,105.16163567505555,153.8493913588611,11.6698824,143.28739022327778,96.8179267,19.1158804,8.4553816,86.9071275,14.2115494,1.0986952,0.205754,1.9227075,94.897795,0.1065048,0.1633307,0.0688178,0.0844463,1.1107831,0.3971542
2025-06-19 22:00:00,34.8705145,4.9945059,0.775662,0.7826854,15.6604629,4.3556847908774685,12.6654042,192.8534508,16.0998684,193.7752329,27.8792441,20.1113942,13.8343817,197.5778898,31.9703185,11.9653313,13.5668215,195.4178474,18.3272837,45.0207923,13.9463606,195.7371348,18.692402,45.1922896,13.8624544,197.1410432,194.4536359,13.0812431,43.71919183619444,2.3038132,9.9692006,0,81.3836069,21.7085279,53.077673,13.3405401,191.0628387,194.3271678,12.9993809,3.5124131383055555,47.27005951086111,104.6149101468611,151.88496965772222,11.556775,142.8963601151389,97.0875505,19.1151411,8.3645321,86.7256937,14.1826495,1.0985249,0.2040685,1.9155813,94.9584364,0.1061515,0.1726546,0.0683612,0.0839527,1.0104288,0.3953407
2025-06-19 23:00:00,34.9868405,5.0530389,0.754361,0.7599979,15.4913099,4.310068650719626,12.7040356,192.9969872,16.146832,193.7742843,28.0801931,20.1090483,13.8693947,197.7050476,31.977861,11.9600487,13.6014967,195.550751,18.3078348,45.0190376,13.9801165,195.7716941,18.7323334,45.0484144,13.8969016,197.2265853,194.5878476,13.1190326,43.68790217977778,2.05724,9.9706262,0,81.276954,21.6872774,53.0357667,13.3783513,191.1326822,194.4617479,13.038125,3.6039122574444447,46.44362986708333,104.35205455969445,150.79568442677777,11.497627,142.76305885477777,96.6507414,19.1148191,8.3140506,87.1975424,14.2117746,1.0955311,0.2029977,1.9330761,94.6918551,0.1059584,0.18088,0.0680873,0.0837496,0.9247976,0.3951194
2025-06-20 00:00:00,34.7959797,5.0486705,0.754129,0.759467,15.4056339,4.68058103522565,12.5140858,192.3842951,16.4633023,194.2694981,28.8216818,20.0945986,13.7394696,197.3981286,31.9758231,11.9586326,13.4629713,195.2365834,18.2852071,45.0187844,13.8511592,195.5067485,18.7227025,45.0470042,13.7650581,196.9530389,194.1308017,12.9627579,45.10987839861111,1.9145311,9.9716992,0,81.2156563,21.6440808,52.9644095,13.1978073,191.0644645,193.9539272,12.8508011,3.385485346305556,54.155552216972225,108.70985046894445,162.86540268591668,12.4088224,150.11226277169445,103.0249078,19.1147717,8.8859961,85.0292798,14.3350037,1.1016178,0.2026392,2.1187016,96.2825245,0.1057809,0.1918692,0.0680081,0.0836403,0.8527003,0.3955054
Total,828.0072061999999,118.5698606,,,,,,,,,,,,,,,,,,,,,,,,,,,3774793.4561555,,,,,,,,,,,293720.81423310004,4297989.345436899,8813875.702100398,13111865.047537299,,12202479.1963471,,,,,,,,,,,,,,,
Average,34.50030025833333,4.940410858333333,0.8005178958333331,0.8124534833333331,17.552462741666663,4.397271334931355,12.773626554166666,193.20854069999996,16.359529054166668,193.98143340416672,27.495586437500005,21.305167541666673,13.971196295833332,197.89969054583332,31.888632245833325,10.9473452,13.691387083333332,195.7698687708333,18.395161633333334,45.02462950833333,14.03838545,196.09780531666664,18.792599841666668,45.67314169583333,13.979900929166666,197.478154475,194.8080714875,13.195249008333333,43.68973907587384,2.978026466666666,9.974945804166667,0,80.76149559166664,21.858028054166663,50.78528715000001,13.465002787500003,191.5209421541667,194.66925502916664,13.102646916666666,3.399546461031251,49.74524705366781,102.01245025579163,151.75769730945947,12.108875708333336,141.23239810586924,96.37916261666668,16.9529933875,7.737694583333333,86.98372434166667,14.587857920833336,0.9260497833333335,0.20268552083333335,1.7697074833333335,94.32822588333333,0.11056718750000001,0.14092044583333335,2.7071481916666666,0.08798980833333332,0.7982876625,0.8989249625000001
Min,33.8771675,2.544764,0.7452209,0.7526826,15.4056339,4.122448904712808,12.5140858,192.3842951,15.8511473,193.6365819,25.2456017,18.0314555,13.7394696,197.3981286,31.646154,10.0577332,13.4629713,195.2365834,18.2852071,45.018167,13.8511592,195.5067485,18.692402,45.0470042,13.7650581,196.9530389,194.0946692,12.9627579,43.14249194608333,1.9145311,9.967606,0,79.1511982,21.6440808,49.3536304,13.1978073,191.0628387,193.9331491,12.8508011,2.714194855777778,46.44362986708333,91.72731504041666,140.81950097280554,11.497627,133.10015307711112,94.9595227,14.6052196,6.5053818,85.0292798,14.1826495,0.7460461,0.1644823,1.4589125,93.3134335,0.1057809,0.1119758,0.0680081,0.0836403,0.4947745,0.3951194
Max,35.0375968,7.1919522,0.8772065,0.897114,20.4578569,4.71522127232799,12.9662012,193.8445456,17.4487036,194.6316144,28.8216818,29.6277248,14.3685393,198.968464,31.977861,12.0076158,13.9544953,196.4801412,18.5388732,45.0321907,14.2632602,196.8128716,18.9361109,46.1072078,14.2066709,198.1692365,195.4311539,13.3927325,45.10987839861111,3.5495226,9.9910625,0,81.8605595,21.993452,53.077673,13.6805429,192.1647284,195.2758269,13.2885975,3.7143327954166665,54.155552216972225,113.81107117775,165.21002176261112,13.4712752,150.50779980577778,103.0249078,21.0835965,8.8859961,87.6468687,15.6949205,1.1016178,0.2288168,2.1187016,96.2825245,0.118694,0.1918692,18.6963277,0.0941536,1.5858083,1.9401645
